qualification_performance,,OverallScore_post,OverallScore_pre,adj_diffs,diffs,pos_diffs
Expert,count,2205.0,2205.0,2205.0,2205.0,2205.0
Expert,mean,96.0498866213,94.8163265306,101.233560091,1.2335600907,3.85034013605
Expert,std,6.25728296073,7.06627339634,9.58401375574,9.58401375574,6.52409370405
Expert,min,50.0,60.0,50.0,-50.0,0.0
Expert,25%,90.0,90.0,100.0,0.0,0.0
Expert,50%,100.0,100.0,100.0,0.0,0.0
Expert,75%,100.0,100.0,110.0,10.0,10.0
Expert,max,100.0,100.0,140.0,40.0,40.0
Marksman,count,1413.0,1413.0,1413.0,1413.0,1413.0
Marksman,mean,89.6390658174,79.7593772116,109.879688606,9.8796886058,12.2929936306
Marksman,std,9.57732521811,12.7383282201,16.0796430314,16.0796430314,12.8670115523
Marksman,min,60.0,30.0,60.0,-40.0,0.0
Marksman,25%,80.0,70.0,100.0,0.0,0.0
Marksman,50%,90.0,80.0,110.0,10.0,10.0
Marksman,75%,100.0,90.0,120.0,20.0,20.0
Marksman,max,100.0,100.0,170.0,70.0,70.0
Novice,count,3497.0,3497.0,3497.0,3497.0,3497.0
Novice,mean,75.0300257363,59.8541607092,115.175865027,15.1758650272,17.9382327709
Novice,std,13.8232327659,15.4899541333,20.9125128351,20.9125128351,16.9552737983
Novice,min,20.0,0.0,50.0,-50.0,0.0
Novice,25%,70.0,50.0,100.0,0.0,0.0
Novice,50%,80.0,60.0,120.0,20.0,20.0
Novice,75%,80.0,70.0,130.0,30.0,30.0
Novice,max,100.0,100.0,180.0,80.0,80.0
Sharpshooter,count,1398.0,1398.0,1398.0,1398.0,1398.0
Sharpshooter,mean,92.1316165951,84.7854077253,107.34620887,7.34620886981,9.8426323319
Sharpshooter,std,8.61354257191,11.2778922448,14.2845215324,14.2845215324,10.9192841016
Sharpshooter,min,50.0,30.0,60.0,-40.0,0.0
Sharpshooter,25%,90.0,80.0,100.0,0.0,0.0
Sharpshooter,50%,90.0,90.0,110.0,10.0,10.0
Sharpshooter,75%,100.0,90.0,120.0,20.0,20.0
Sharpshooter,max,100.0,100.0,170.0,70.0,70.0
Unexperienced,count,1487.0,1487.0,1487.0,1487.0,1487.0
Unexperienced,mean,69.8856758574,50.2757229321,119.609952925,19.6099529254,21.6207128447
Unexperienced,std,14.7404773398,15.7748917489,21.2492383316,21.2492383316,17.9986929772
Unexperienced,min,20.0,0.0,40.0,-60.0,0.0
Unexperienced,25%,60.0,40.0,110.0,10.0,10.0
Unexperienced,50%,70.0,50.0,120.0,20.0,20.0
Unexperienced,75%,80.0,60.0,130.0,30.0,30.0
Unexperienced,max,100.0,100.0,180.0,80.0,80.0
